Question,Option A,Option B,Option C,Option D,Correct Answer,Points
Identify the correct pairing of working principles:,Atom bomb: Nuclear fusion; Hydrogen bomb: Nuclear fission,Atom bomb: Chemical reaction; Hydrogen bomb: Nuclear fission,Atom bomb: Nuclear fission; Hydrogen bomb: Nuclear fusion of Deuterium,Atom bomb: Controlled chain reaction; Hydrogen bomb: Uncontrolled chain reaction,c,1
What is the collective term for the equations describing electric and magnetic fields and their sources?,Einstein's Equations,Newton's Laws,Maxwell's Equations,Compton's Principles,c,1
What is the primary reason for the renewable energy source observed in stars?,Conversion of Helium into Hydrogen,Conversion of Hydrogen into Helium,Nuclear Fission,Chemical Reactions,b,1
"The atom bomb operates on nuclear fission of uranium, while the hydrogen bomb operates on?",Chemical reaction of hydrogen,Nuclear fission of deuterium,Nuclear fusion of deuterium,Radioactive decay of hydrogen,c,1
The Theory of Relativity was proposed by which scientist?,Isaac Newton,Albert Einstein,Max Planck,Niels Bohr,b,1
Which of the following describes a nuclear property?,Magnetism,Radioactivity,Conductivity,Refraction,b,1
The Compton effect occurs in:,Gamma-rays,Infrared rays,X-rays,Microwaves,c,1
The renewable source of energy in stars is due to:,Conversion of Helium into Hydrogen,Burning of Carbon,Conversion of Hydrogen into Helium,Radioactive Decay,c,1
Which of the following is based on the principle of uncontrolled fusion reaction?,Atomic Bomb,Nuclear Reactor,Hydrogen Bomb,Breeder Reactor,c,1
A reactor that produces more fissionable material than it burns is known as:,Nuclear Reactor,Hydrogen Reactor,Fusion Reactor,Breeder Reactor,d,1
Kalpakkam has been in the headlines primarily because of its:,Oil Refinery,Nuclear Power Project,Space Research Center,Textile Industry,b,1
What is used as a coolant in the 'Fast Breeder Test Reactor' at Kalpakkam?,Liquid Nitrogen,Molten Sodium,Heavy Water,Helium,b,1
Which of the following cannot be used as nuclear fuel?,Uranium,Plutonium,Thorium,Calcium,d,1
India's nuclear plant located in Seismic Zone IV is:,Tarapur,Kaiga,Kudankulam,Narora,d,1
India's twentieth nuclear power station is located in:,Andhra Pradesh,Tamil Nadu,Karnataka,Maharashtra,c,1
"As of July 2016, the number of member countries in the Nuclear Suppliers Group (NSG) was:",45,50,48,52,c,1
Reactors that operate at very high temperatures and usually have a Tokamak design are:,Breeder Reactors,Nuclear Fission Reactors,Nuclear Fusion Reactors,Research Reactors,c,1
Photoelectric effect demonstrates which nature of light?,Wave nature,Refractive nature,Diffractive nature,Particle nature,d,1
In what year did Albert Einstein predict the Bose-Einstein Condensate (BEC) based on Satyendra Nath Bose's quantum formulation?,1935,1924,1915,1947,b,1
"For a metal used as a cathode to produce the photoelectric effect, the characteristic it should possess is:",High work function,Moderate reactivity,Low work function,High ionization energy,c,1
What type of rays are emitted from every hot object?,Ultraviolet rays,Infrared rays,X-rays,Gamma rays,b,1
The American scientist Edwin Hubble is associated with which theory?,Theory of Relativity,Quantum Theory,Big Bang Theory,String Theory,c,1
Who is credited with laying the foundation of Quantum Theory?,Albert Einstein,Niels Bohr,Max Planck,Werner Heisenberg,c,1
The code name for the first nuclear test of Pokhran in 1974 was:,Operation Shakti,Smiling Buddha,Operation Desert Storm,White Revolution,b,1
What type of reactor produces more fissionable material than it consumes?,Fusion Reactor,Breeder Reactor,Moderator Reactor,Tokamak Reactor,b,1
Kalpakkam has been in the headlines primarily due to what reason?,Its agricultural advancements,Its technological university,Its Nuclear Power Project,Its tourism initiatives,c,1
Which of the following elements is NOT suitable for use as nuclear fuel?,Uranium,Plutonium,Thorium,Calcium,d,1
What is the primary function of a 'breeder reactor'?,To consume all fissionable material,To produce more fissionable material than it burns,To generate electricity using fusion,To control nuclear waste,b,1
Why was Kalpakkam in the headlines?,Discovery of rare earth minerals,Its Nuclear Power Project,Major earthquake,International trade summit,b,1
What is a desirable characteristic of a metal used as a cathode in the photoelectric effect?,High work function,Low work function,High density,High melting point,b,1
Which of the following is emitted from every hot object?,Ultraviolet rays,X-rays,Infrared rays,Microwaves,c,1
What occurs during the process of Nuclear Fusion?,A heavy nucleus splits into two light nuclei,Two heavy nuclei combine to form a light nucleus,Two light nuclei combine to form a heavy nucleus,A light nucleus transforms into another light nucleus,c,1
Which material is NOT utilized as a neutron-absorbing substance within nuclear reactors?,Boron,Cadmium,Iron,Hafnium,c,1
Which substance is NOT employed as a coolant in nuclear reactors?,Water,Liquid Sodium,Heavy Water,Graphite,d,1
Which metal serves as a shield in a nuclear reactor?,Aluminum,Copper,Lead,Steel,c,1
What is the name of the first missile developed in India?,Agni,Trishul,Prithvi,Akash,c,1
Who is known for the discovery of heavy water?,James Chadwick,Urey,Eugen Goldstein,J.J. Thomson,b,1
Alfred Nobel is best known for inventing which of the following?,Dynamo,Transformer,Dynamite,Hydrogen Bomb,c,1
Which scientist is credited with the discovery of the Dynamo?,Albert Einstein,Michael Faraday,Edward Teller,Frank Whittle,b,1
Michael Faraday is also known for discovering which of the following?,Electron,Proton,Transformer,Neutron,c,1
The laws of Electrolysis were given by which scientist?,J.J. Thomson,Eugen Goldstein,M. Faraday,James Chadwick,c,1
Eugen Goldstein is known for the discovery of which subatomic particle?,Neutron,Electron,Proton,Positron,c,1
Who discovered the Neutron?,J.J. Thomson,Eugen Goldstein,James Chadwick,Michael Faraday,c,1
In which industry is heavy water commonly used?,Pharmaceutical Industry,Nuclear Power Generation Plants,Automobile Industry,Textile Industry,b,1
Which of the following is NOT a radioactive element?,Polonium,Radium,Uranium,Cadmium,d,1
Who is credited with inventing the Jet Engine?,Edward Teller,Frank Whittle,Albert Einstein,C.V. Raman,b,1
Which particles are found inside the nucleus of an atom?,Electrons and Neutrons,Protons and Electrons,Protons and Neutrons,Neutrons and Positrons,c,1
What is the chemical composition of Heavy Water?,Tritium Oxide,Deuterium Oxide,Hydrogen Peroxide,Water with dissolved Uranium,b,1
Edward Teller is most notably known for his invention of what?,Dynamo,Hydrogen Bomb,Jet Engine,Transformer,b,1
Who discovered the proton?,J.J. Thomson,James Chadwick,Eugen Goldstein,Michael Faraday,c,1
James Chadwick is renowned for the discovery of which subatomic particle?,Proton,Electron,Neutron,Positron,c,1
Which industry utilizes heavy water most extensively?,Pharmaceuticals,Nuclear Power Generation Plants,Automotive,Aerospace,b,1
What is another name for Heavy Water?,Hydrogen Oxide,Tritium Oxide,Deuterium Oxide,Oxygen Hydride,c,1
Which of the following materials is NOT utilized as a neutron-absorbing material in nuclear reactors?,Iron,Boron,Cadmium,Control Rods,a,1
Which of the following substances is NOT used as a coolant in nuclear reactors?,Water,Liquid Sodium,Heavy Water,Graphite,d,1
Dynamite was invented by whom?,Michael Faraday,Edward Teller,Alfred Nobel,Albert Einstein,c,1
The Hydrogen Bomb was invented by whom?,Alfred Nobel,Edward Teller,Albert Einstein,Michael Faraday,b,1
What material is generally used to make an atomic bomb?,Plutonium,Cadmium,Iron,Uranium,d,1
Who discovered the Dynamo and the Transformer?,Albert Einstein,Michael Faraday,James Chadwick,Eugen Goldstein,b,1
Edward Teller is credited with the invention of which weapon?,Atomic Bomb,Dynamite,Hydrogen Bomb,X-ray,c,1
What is the chemical name for Heavy Water?,Tritium Oxide,Hydrogen Peroxide,Deuterium (Deuterium Oxide),Ordinary Water,c,1
Alpha particles possess which type of electrical charge?,Neutral,Negative,Positive,Variable,c,1
"Carl Wieman, along with Eric Cornell, received the Nobel Prize in which year for creating the Bose-Einstein Condensate?",1985,2005,1995,2000,c,1
Isaac Newton invented which type of telescope in the 17th century?,Refracting Telescope,Radio Telescope,Reflecting Telescope,Infrared Telescope,c,1
John Ambrose Fleming invented which device in 1904?,Transistor,Integrated Circuit,Oscillation Valve (Diode Valve),Capacitor,c,1
"In 1928, which scientist discovered that the color of scattered light changes when a beam of colored light enters a liquid?",Albert Einstein,Niels Bohr,C.V. Raman,Werner Heisenberg,c,1
Hans Christian Oersted discovered in 1820 that an electric current affects which of the following?,Sound waves,Light waves,A nearby magnetic needle,Chemical reactions,c,1
Alessandro Volta invented which device in 1800 AD?,Dynamo,Electric Generator,Power Battery,Transformer,c,1
Who are credited with inventing the Airplane?,The Montgolfier Brothers,The Wright Brothers,Ferdinand von Zeppelin,George Cayley,b,1
The Revolver was invented by whom?,Eli Whitney,Samuel Colt,Henry Ford,Alfred Nobel,b,1
Max Karl Ernst Ludwig Planck received the Nobel Prize in Physics in 1918 for the discovery of what?,Relativity,Energy Quanta,Nuclear Fission,Electromagnetism,b,1
Heike Kamerlingh Onnes was awarded the Nobel Prize in 1913 for the discovery of?,Radioactivity,Superconductivity,X-rays,Electron,b,1
Who invented the Atomic Battery in 1912?,Marie Curie,Ernest Rutherford,Henry Moseley,Niels Bohr,c,1
Which scientist invented Ultra-Short Radio Waves?,Guglielmo Marconi,Heinrich Hertz,J.C. Bose,James Clerk Maxwell,c,1
The Bifocal lens was invented by which scientist?,Isaac Newton,Benjamin Franklin,Galileo Galilei,Robert Hooke,b,1
Who is known for inventing the Video Game Console?,Bill Gates,Steve Jobs,Ralph H. Baer,Nolan Bushnell,c,1
Evangelista Torricelli is universally credited with the invention of which instrument in 1643?,Microscope,Telescope,Barometer,Thermometer,c,1
Which scientist invented the Electromagnet?,Michael Faraday,William Sturgeon,André-Marie Ampère,Joseph Henry,b,1
Who invented the Cyclotron in 1934?,Enrico Fermi,Ernest O. Lawrence,J. Robert Oppenheimer,Albert Einstein,b,1
The Photoelectric Effect was discovered by whom?,Albert Einstein,Max Planck,H.R. Hertz,Niels Bohr,c,1
Who invented the Pendulum Clock in 1656?,Galileo Galilei,Christiaan Huygens,Robert Hooke,Isaac Newton,b,1
The Phonograph was invented by?,Alexander Graham Bell,Thomas Edison,Emile Berliner,Guglielmo Marconi,b,1
Which particles are positively charged?,Beta particles,Gamma rays,Alpha particles,Neutrons,c,1
In what year did John Ambrose Fleming invent the Oscillation Valve (Diode Valve)?,1914,1904,1924,1894,b,1
"In 1820, who discovered that an electric current moves a nearby magnetic needle?",Andre-Marie Ampere,Michael Faraday,Hans Christian Oersted,Georg Ohm,c,1
Which scientist received the Nobel Prize in Physics for discovering 'Energy Quanta' in 1918?,Niels Bohr,Albert Einstein,Max Karl Ernst Ludwig Planck,Werner Heisenberg,c,1
Heike Kamerlingh Onnes received the Nobel Prize in which year for discovering Superconductivity?,1923,1903,1913,1933,c,1
Who is known for inventing the Contact Lens?,Theodore Maiman,Adolf Gaston Eugen Fick,Charles Goodyear,Chester Carlson,b,1
"In 1643, who invented the Barometer?",Galileo Galilei,Evangelista Torricelli,Blaise Pascal,Robert Boyle,b,1
William Sturgeon invented which device?,Telegraph,Electromagnet,Dynamo,Transformer,b,1
Christiaan Huygens invented the Pendulum Clock in which year?,1646,1666,1656,1636,c,1
Which type of telescope did Isaac Newton invent?,Refracting Telescope,Radio Telescope,Reflecting Telescope,Binoculars,c,1
Who invented the Induction Motor?,Thomas Edison,Nikola Tesla,Michael Faraday,James Clerk Maxwell,b,1
Which of the following pairs is credited with the invention of the Airplane?,Wright Brothers,Bell Brothers,Curie Brothers,Thomson Brothers,a,1
Adolf Gaston Eugen Fick is known for inventing which of the following?,Microscope,Telescope,Contact Lens,Spectroscope,c,1
Benjamin Franklin is credited with inventing which type of lens?,Convex Lens,Concave Lens,Bifocal Lens,Cylindrical Lens,c,1
Which scientist is universally credited with inventing the Barometer in 1643?,Galileo Galilei,Evangelista Torricelli,Blaise Pascal,Robert Boyle,b,1
Ernest O. Lawrence invented which of the following devices in 1934?,The Laser,The Cyclotron,The Transistor,The Integrated Circuit,b,1
H.R. Hertz is known for discovering what?,Electromagnetic Waves,Photoelectric Effect,Radio Waves,Infrared Radiation,b,1
Which inventor is credited with the invention of the Phonograph?,Alexander Graham Bell,Thomas Edison,Emile Berliner,Charles Babbage,b,1
"Match the following inventions with their inventors:

Column I (Invention)  Column II (Inventor)
A. Revolver  1. Ralph H. Baer
B. Video Game Console  2. Samuel Colt
C. Electromagnet  3. William Sturgeon

Choose the correct match:","A-1, B-2, C-3","A-2, B-1, C-3","A-3, B-2, C-1","A-2, B-3, C-1",b,1
The Induction Coil was invented by which of the following individuals?,John Barber,Nicholas Callan,Gene Dolgoff,David Brewster,b,1
In what year was the Bar Code Scanner invented?,1964,1984,1954,1974,d,1
Identify the inventor of the Magic Marker.,Theophilus Van Kannel,Philip Diehl,Alfred P. Southwick,Sidney Rosenthal,d,1
Who among the following is known for inventing the Revolving Door?,Philip Diehl,Alfred P. Southwick,Theophilus Van Kannel,Arthur Pitney,c,1
The Electric Chair was invented by whom?,Arthur Pitney,Alfred P. Southwick,Luigi Palmieri,Edwin Beard Budding,b,1
Who invented the Postage Meter?,Arthur Fry,Arthur Pitney,Fyodor Pirotsky,Ransom Eli Olds,b,1
Edwin Beard Budding is credited with inventing which of the following?,Electric Tram,Lawnmower,Post-it Note,Assembly Line,b,1
Arthur Fry invented which item?,Post-it Note,Assembly Line,3-D Printer,Dishwasher,a,1
Chuck Hull is known for inventing the:,3-D Printer,Dishwasher,Aerosol Can,Neon Lamp,a,1
Which of the following did Josephine Cochrane invent?,Aerosol Can,Neon Lamp,Dishwasher,Internet Protocol,c,1
Sandford Fleming is credited with inventing:,Universal Standard Time,Internet Protocol,Nuclear Reactor,Water Turbine,a,1
Who invented the Internet Protocol?,Vint Cerf,Enrico Fermi,Benoît Fourneyron,Assen Jordanoff,a,1
Who is known for inventing the Airbag?,Sikorsky,Tivadar Puskas,Gordon Gould,Assen Jordanoff,d,1
Which of the following inventions is attributed to Gordon Gould?,Telephone Exchange,Laser,Pneumatic Rubber Tire,LED,b,1
J.B. Dunlop is best known for inventing the:,Pneumatic Rubber Tire,LED,Lightning Conductor,Cinematography,a,1
Benjamin Franklin invented the Lightning Conductor in which year?,1759,1739,1749,1769,c,1
Isaac Newton is known for inventing the:,Cinematography,Lightning Conductor,LED,Reflecting Telescope,d,1
Which of the following was invented by John Barber?,Induction Coil,Kaleidoscope,Gas Turbine,Bar Code Scanner,c,1
"Match the following inventors with their inventions:

Column I (Inventor)
(A) David Brewster
(B) Sidney Rosenthal
(C) Theophilus Van Kannel
(D) Philip Diehl

Column II (Invention)
(1) Ceiling Fan
(2) Magic Marker
(3) Revolving Door
(4) Kaleidoscope","A-4, B-2, C-3, D-1","A-3, B-1, C-2, D-4","A-2, B-4, C-1, D-3","A-1, B-3, C-4, D-2",a,1
Arthur Pitney is credited as the inventor of which device?,Lawnmower,Postage Meter,Electric Chair,Electric Tram,b,1
Who invented the Seismometer?,Edwin Beard Budding,Luigi Palmieri,Arthur Pitney,Alfred P. Southwick,b,1
Which of the following was invented by Fyodor Pirotsky?,Lawnmower,Post-it Note,Electric Tram,Assembly Line,c,1
Ransom Eli Olds is credited with the invention of the:,3-D Printer,Dishwasher,Assembly Line,Aerosol Can,c,1
Josephine Cochrane is known for inventing which household appliance?,Aerosol Can,Neon Lamp,Dishwasher,Universal Standard Time,c,1
Erik Rotheim invented the:,Aerosol Can,Neon Lamp,Universal Standard Time,Internet Protocol,a,1
Georges Claude invented which type of lighting?,LED,Neon Lamp,Laser,Lightning Conductor,b,1
Who invented Universal Standard Time?,Vint Cerf,Enrico Fermi,Sandford Fleming,Benoît Fourneyron,c,1
Vint Cerf is known for inventing the:,Nuclear Reactor,Water Turbine,Internet Protocol,Airbag,c,1
Enrico Fermi is credited with inventing the:,Nuclear Reactor,Water Turbine,Airbag,Helicopter,a,1
Which of the following was invented by Benoît Fourneyron?,Airbag,Helicopter,Water Turbine,Telephone Exchange,c,1
Assen Jordanoff is credited with the invention of which safety feature?,Airbag,Helicopter,Telephone Exchange,Laser,a,1
Sikorsky invented the:,Telephone Exchange,Laser,Pneumatic Rubber Tire,Helicopter,d,1
Tivadar Puskas invented the:,Telephone Exchange,Laser,Pneumatic Rubber Tire,LED,a,1
Who invented the Laser?,Gordon Gould,J.B. Dunlop,Nick Holonyak,Benjamin Franklin,a,1
Nick Holonyak invented the:,Laser,Pneumatic Rubber Tire,LED,Lightning Conductor,c,1
William Friese-Greene is credited with inventing:,Cinematography,Reflecting Telescope,LED,Lightning Conductor,a,1
Which of the following was invented by Isaac Newton?,Cinematography,Reflecting Telescope,LED,Lightning Conductor,b,1
Nicholas Callan is best known for inventing which of the following?,Gas Turbine,Induction Coil,Kaleidoscope,Magic Marker,b,1
"Match the following inventions with their inventors:

Column I
(A) Revolving Door
(B) Ceiling Fan
(C) Electric Chair
(D) Postage Meter

Column II
(1) Arthur Pitney
(2) Philip Diehl
(3) Theophilus Van Kannel
(4) Alfred P. Southwick","A-3, B-2, C-4, D-1","A-2, B-3, C-1, D-4","A-4, B-1, C-3, D-2","A-1, B-4, C-2, D-3",a,1
What invention is attributed to Tivadar Puskas?,Laser,Telephone Exchange,Airbag,Helicopter,b,1
Who invented the Reflecting Telescope?,William Friese-Greene,Benjamin Franklin,Nick Holonyak,Isaac Newton,d,1
Which of the following inventions is attributed to David Brewster?,Revolving Door,Kaleidoscope,Ceiling Fan,Electric Chair,b,1
Which of the following was invented by Philip Diehl?,Seismometer,Lawnmower,Ceiling Fan,Electric Tram,c,1
Luigi Palmieri invented which of the following?,Seismometer,Lawnmower,Electric Tram,Post-it Note,a,1
Edwin Beard Budding invented the:,Electric Tram,Lawnmower,Post-it Note,Assembly Line,b,1
The Dishwasher was invented by:,Georges Claude,Josephine Cochrane,Sandford Fleming,Vint Cerf,b,1
Georges Claude is credited with inventing the:,Water Turbine,Neon Lamp,Airbag,Helicopter,b,1
Who invented the Water Turbine?,Nick Holonyak,Benoît Fourneyron,Benjamin Franklin,William Friese-Greene,b,1
Assen Jordanoff invented the:,Reflecting Telescope,Airbag,Helicopter,Telephone Exchange,b,1
The Telephone Exchange was invented by:,Benjamin Franklin,Tivadar Puskas,William Friese-Greene,Isaac Newton,b,1
Gordon Gould invented the:,Laser,Pneumatic Rubber Tire,LED,Lightning Conductor,a,1
The Steam Engine was invented by which of the following individuals?,Jean-Antoine Nollet,George Stephenson,Lloyd Groff Copeman,Bartolomeo Cristofori,b,1
Jean-Antoine Nollet is best known for inventing which of the following?,Tetris,Electroscope,Sewing Machine,Electric Stove,b,1
Alexey Pajitnov is credited with inventing which popular video game?,Dynamite,Television,Tetris,Piano,c,1
Who among the following invented the Sewing Machine?,Isaac Singer,Lloyd Groff Copeman,Bartolomeo Cristofori,J.L. Baird,a,1
Which of the following was invented by Lloyd Groff Copeman?,Electric Stove,Piano,Television,Dynamite,a,1
Bartolomeo Cristofori is known for inventing which musical instrument?,Vacuum Flask,Piano,Laser,Lightning Conductor,b,1
J.L. Baird is credited with the invention of:,Dynamite,Christmas Card,Television,Vacuum Flask,c,1
Sir Henry Cole is known for inventing which festive item?,Electric Bulb,Stethoscope,Christmas Card,Power Loom,c,1
James Dewar is credited with the invention of:,Safety Pin,Cotton Gin,Vacuum Flask,Kevlar,c,1
Berzelius is known for discovering:,Neutron,Catalysis,Rocket,FM Radio,b,1
The first Laser was made by:,Theodore H. Maiman,Percy Spencer,Lewis Edson Waterman,Evangelista Torricelli,a,1
Thomas Edison is most famously known for inventing the:,Stethoscope,Electric Bulb,Power Loom,Safety Pin,b,1
Rene Laennec is known for inventing which medical instrument?,Kevlar,Stethoscope,Rocket,FM Radio,b,1
Edmund Cartwright is credited with inventing the:,Microwaves,Fountain Pen,Barometer,Power Loom,d,1
Walter Hunt is credited with the invention of:,Safety Pin,Cotton Gin,Kevlar,Neutron,a,1
Eli Whitney is known for inventing which device?,FM Radio,Cotton Gin,Microwaves,Fountain Pen,b,1
Stephanie Louise Kwolek is credited with inventing:,Animation,Compound Microscope,Kevlar,Ammeter,c,1
Edwin Howard Armstrong is best known for inventing:,Barometer,FM Radio,Animation,Compound Microscope,b,1
Percy Spencer is credited with discovering:,Telephone,Microwaves,Ammeter,Television,b,1
Lewis Edson Waterman is known for inventing:,Fountain Pen,Barometer,Animation,Compound Microscope,a,1
Evangelista Torricelli is credited with inventing the:,Telephone,Ammeter,Barometer,Television,c,1
Émile Cohl is considered the father/discoverer of:,Animation,Compound Microscope,Ammeter,Telephone,a,1
Who invented the Compound Microscope?,Friedrich Drexler,Graham Bell,Zacharias Janssen,Émile Cohl,c,1
Friedrich Drexler is known for inventing the:,Ammeter,Telephone,Television,Compound Microscope,a,1
Which of the following was invented by Graham Bell?,Ammeter,Telephone,Television,Compound Microscope,b,1
Who is credited with inventing the PlayStation?,George Stephenson,Ken Kutaragi,Isaac Singer,Alfred Nobel,b,1
Who is known for inventing the Sewing Machine?,Isaac Singer,Lloyd Groff Copeman,Bartolomeo Cristofori,J.L. Baird,a,1
The Piano was invented by whom?,Alfred Nobel,Sir Henry Cole,James Dewar,Bartolomeo Cristofori,d,1
Sir Henry Cole is credited with inventing:,Christmas Card,Vacuum Flask,Catalysis,Laser,a,1
Who discovered Catalysis?,Berzelius,Theodore H. Maiman,Benjamin Franklin,Rene Laennec,a,1
Rene Laennec is credited with inventing the:,Cotton Gin,Kevlar,Stethoscope,Rocket,c,1
The Power Loom was invented by:,Robert Goddard,Edmund Cartwright,Edwin Howard Armstrong,Percy Spencer,b,1
Eli Whitney is best known for inventing the:,Compound Microscope,Cotton Gin,Ammeter,Telephone,b,1
James Chadwick is credited with the discovery of the Neutron in what year?,1932,1922,1942,1952,a,1
Who invented the Rocket?,Lewis Edson Waterman,Evangelista Torricelli,Émile Cohl,Robert Goddard,d,1
Percy Spencer discovered:,Microwaves,Fountain Pen,Barometer,Animation,a,1
Graham Bell is famous for inventing the:,Ammeter,Telephone,Television,Compound Microscope,b,1
Alexey Pajitnov is famous for inventing which of the following?,Electric Stove,Tetris (Video Game),Piano,Television,b,1
Isaac Singer is best known as the inventor of the:,Electric Stove,Dynamite,Sewing Machine,Christmas Card,c,1
Lloyd Groff Copeman is credited with inventing the:,Vacuum Flask,Electric Stove,Catalysis,Laser,b,1
Theodore H. Maiman is credited with making the first:,Stethoscope,Power Loom,Laser,Safety Pin,c,1
Which of the following was invented by Thomas Edison?,Electric Bulb,Stethoscope,Power Loom,Safety Pin,a,1
Robert Goddard is credited with inventing the:,Electric Bulb,Stethoscope,Rocket,Safety Pin,c,1
Zacharias Janssen is credited with inventing the:,Electric Bulb,Stethoscope,Compound Microscope,Safety Pin,c,1
Who invented the Electric Stove?,Alfred Nobel,Sir Henry Cole,Lloyd Groff Copeman,James Dewar,c,1
Thomas Edison is credited with the invention of:,Electric Bulb,Stethoscope,Power Loom,Safety Pin,a,1
The Stethoscope was invented by whom?,Rene Laennec,Edmund Cartwright,Walter Hunt,Eli Whitney,a,1
Edmund Cartwright is best known for inventing which of the following?,Power Loom,Kevlar,Rocket,FM Radio,a,1
What did Walter Hunt invent?,Microwaves,Fountain Pen,Safety Pin,Barometer,c,1
The Cotton Gin was invented by whom?,Eli Whitney,Stephanie Louise Kwolek,James Chadwick,Robert Goddard,a,1
Who invented Kevlar?,Lewis Edson Waterman,Stephanie Louise Kwolek,Evangelista Torricelli,Émile Cohl,b,1
Robert Goddard is known for inventing which of the following?,Rocket,FM Radio,Microwaves,Fountain Pen,a,1
Who invented FM Radio?,Lewis Edson Waterman,Edwin Howard Armstrong,Evangelista Torricelli,Émile Cohl,b,1
The Fountain Pen was invented by whom?,Friedrich Drexler,Lewis Edson Waterman,Evangelista Torricelli,Graham Bell,b,1
Evangelista Torricelli is best known for inventing which instrument?,Barometer,Compound Microscope,Ammeter,Telephone,a,1
Émile Cohl is known as the father of what art form?,Television,Animation,Ammeter,Telephone,b,1
Who invented the Ammeter?,Zacharias Janssen,Friedrich Drexler,Graham Bell,J.L. Baird,b,1
The invention of the microwave oven is attributed to whom?,Pierre Vernier,Percy Spencer,Ernst Ruska,Daniel Gabriel Fahrenheit,b,1
Alessandro Volta is known for inventing which of the following?,Diesel Engine,Computer,Battery,Electron Microscope,c,1
Pierre Vernier is best known for his contribution to the invention of which instrument?,Thermometer,Vernier Caliper,Dynamo,X-ray laser,b,1
Which of the following scientists invented the dynamo?,Rudolf Diesel,Michael Faraday,Charles Babbage,Percy Spencer,b,1
Rudolf Diesel is famous for inventing which engine?,Steam Engine,Diesel Engine,Electric Motor,Combustion Engine,b,1
The invention of the computer is generally credited to whom?,Michael Faraday,Alessandro Volta,Charles Babbage,Ernst Ruska,c,1
Who were the key inventors of the electron microscope?,"Michael Faraday, Rudolf Diesel","Percy Spencer, Pierre Vernier","Ernst Ruska, Bodo von Borries, and Max Knoll","Charles Babbage, Alessandro Volta",c,1
Daniel Gabriel Fahrenheit is best known for inventing which device?,Barometer,Vernier Caliper,Thermometer,Dynamo,c,1
What does the Hubble Constant measure in Physics?,Speed of light,Density of water,Expansion of the universe,Gravitational force,c,1
Which form of energy is NOT typically derived from the ocean?,Tidal energy,Wave energy,Geothermal energy,Ocean thermal energy,c,1
Which physical quantity is represented by the expression Arc/Radius?,Solid Angle,Plane Angle,Surface Tension,Refractive Index,b,1
Which of the following is NOT classified as a vegetable fiber?,Cotton,Jute,Flax,Nylon,d,1
What is the term for the ratio of energy flow at different points in a food chain?,Trophic Cascade,Ecological Succession,Ecological Efficiency,Energy Pyramid,c,1
Which type of lens will always produce a smaller image?,Convex lens,Concave lens,Bifocal lens,Cylindrical lens,b,1
What is the duration of the world's smallest X-ray laser pulse mentioned in the text?,43 Picoseconds,43 Femtoseconds,43 Attoseconds,43 Nanoseconds,c,1
What is the name of India's first human space mission?,Chandrayaan,Mangalyaan,Gaganyaan,Aryabhata,c,1
In which year did India launch its first experimental satellite?,1969,1972,1975,1980,c,1
With which country did ISRO sign an agreement in 2021 for cooperation on the Gaganyaan mission?,USA,Russia,France,Japan,c,1
What is the capacity of a body to perform work defined as?,Power,Force,Energy,Momentum,c,1
Which of the following inventors is associated with the invention of the battery?,Charles Babbage,Alessandro Volta,Pierre Vernier,Daniel Gabriel Fahrenheit,b,1
"Arrange the following inventions in chronological order based on the inventor mentioned in the text:

I. Diesel Engine
II. Computer
III. Thermometer","I, II, III","II, I, III","III, II, I","III, I, II",d,1
Which of the following is NOT a correct pairing of inventor and invention according to the text?,Michael Faraday - Transformer,Charles Babbage - Computer,Rudolf Diesel - Microwave Oven,Pierre Vernier - Vernier Caliper,c,1
"Match the following:

Column I (Scientist)
I. Michael Faraday
II. Percy Spencer
III. Rudolf Diesel
IV. Charles Babbage

Column II (Invention)
A. Diesel Engine
B. Microwave Oven
C. Transformer
D. Computer

","I-C, II-B, III-A, IV-D","I-A, II-D, III-C, IV-B","I-B, II-C, III-D, IV-A","I-D, II-A, III-B, IV-C",a,1
Which energy is specifically mentioned as NOT being generated from the ocean?,Tidal energy,Wave energy,Geothermal energy,Ocean thermal energy,c,1
The Vernier Caliper was invented by whom?,Pierre Vernier,Michael Faraday,Rudolf Diesel,Daniel Gabriel Fahrenheit,a,1
"Match the following Inventors with their Inventions:

Column I
(A) Michael Faraday
(B) Percy Spencer
(C) Alessandro Volta
(D) Rudolf Diesel

Column II
(1) Battery
(2) Diesel Engine
(3) Transformer
(4) Microwave Oven","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3",a,1
Which of the following inventions is associated with Percy Spencer?,Battery,Microwave Oven,Diesel Engine,Transformer,b,1
Rudolf Diesel is known for inventing which of the following?,Computer,Diesel Engine,Electron Microscope,Transformer,b,1
Charles Babbage is credited with the invention of which device?,Electron Microscope,Thermometer,Computer,Battery,c,1
The Electron Microscope was invented by:,Michael Faraday,Daniel Gabriel Fahrenheit,"Ernst Ruska, Bodo von Borries, and Max Knoll",Alessandro Volta,c,1
Which scientist invented the thermometer?,Pierre Vernier,Daniel Gabriel Fahrenheit,Percy Spencer,Charles Babbage,b,1
"In 2021, ISRO signed an agreement with which country's space agency (CNES) for cooperation on Gaganyaan?",Russia,USA,France,Japan,c,1
